show_id;type;title;director;cast;date_added;release_year;listed_in;description;rating;duration;country
s1;Movie;Duck the Halls: A Mickey Mouse Christmas Special;Alonso Ramirez Ramos, Dave Wasson;Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton;November 26, 2021;2016;Animation, Family;Join Mickey and the gang as they duck the halls!;TV-G;23 min;
s10;Movie;A Muppets Christmas: Letters To Santa;Kirk R. Thatcher;Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson;November 19, 2021;2008;Comedy, Family, Musical;Celebrate the holiday season with all your favorite Muppets.;G;45 min;United States
s100;Movie;Confessions of a Shopaholic;P.J. Hogan;Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas;September 17, 2021;2009;Comedy, Romance, Romantic Comedy;Becky writes a personal finance column en route to a high-fashion mag job.;PG;106 min;United States
s1000;Movie;Lava;James Murphy;Kuana Kahele, Napua Greig;November 12, 2019;2015;Animation, Family, Musical;A love story that takes place over millions of years.;G;9 min;United States
s1001;TV Show;LEGO Disney Frozen: Northern Lights (Shorts);;;November 12, 2019;2016;Action-Adventure, Animation, Comedy;Anna and Elsa search for the missing Northern Lights.;TV-Y7;1 Season;United States
s1002;TV Show;LEGO Star Wars: All Stars;;Jasmin Brown, Josh Peck, Zeno Robinson, Max Mittelman, Matthew Wood;November 12, 2019;2018;Action-Adventure, Animation, Comedy;Han, Chewie, Leia and more team up for new adventures!;TV-Y7;1 Season;United States
s1003;TV Show;LEGO Star Wars: All Stars (Shorts);;Matthew Wood, Yvette Brown, Nicolas Cantu, Carolyn Hennesy, Montse Hernandez, Vanessa Lengies;November 12, 2019;2018;Action-Adventure, Animation, Comedy;Roger, the lovable battle droid, tells his story.;TV-Y7;1 Season;
s1004;TV Show;LEGO Star Wars: Droid Tales;;Tom Kane, Anthony Daniels, Trevor Devall, Kirby Morrow, Sam Vincent, Michael Donovan;November 12, 2019;2014;Action-Adventure, Animation, Comedy;C-3PO recounts the great adventures of the Rebels.;TV-Y7;1 Season;United States
s1005;TV Show;LEGO Star Wars: Resistance Rises (Shorts);;;November 12, 2019;2015;Action-Adventure, Animation, Comedy;Follow five untold stories before the Force awakened.;TV-Y7-FV;1 Season;United States
s1005;TV Show;LEGO Star Wars: Resistance Rises (Shorts);;;November 12, 2019;2015;Action-Adventure, Animation, Comedy;Follow five untold stories before the Force awakened.;TV-Y7-FV;1 Season; Denmark
s1006;TV Show;LEGO Star Wars: The Freemaker Adventures;;Matt Sloan, Trevor Devall, Greg Baldwin, Michael Daingerfield, Vanessa Lengies, Grey Griffin;November 12, 2019;2015;Action-Adventure, Animation, Comedy;12-year old Rowan Freemaker discovers the Kyber Saber.;TV-Y7;2 Seasons;United States
s1007;TV Show;LEGO Star Wars: The Freemaker Adventures (Shorts);;;November 12, 2019;2016;Action-Adventure, Animation, Comedy;The Freemakers lend a helping hand to the rebel fleet.;TV-Y7;1 Season;
s1008;Movie;LEGO Star Wars: The New Yoda Chronicles - Clash of the Skywalkers;Michael Hegner;Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent;November 12, 2019;2014;Action-Adventure, Animation, Comedy;The enraged Emperor sends Darth Vader to destroy Luke.;TV-Y7;24 min;United States
s1009;Movie;LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant;Michael Hegner;Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent;November 12, 2019;2014;Action-Adventure, Animation, Comedy;Luke Skywalker attempts a daring raid on Coruscant.;TV-Y7;24 min;Denmark
s1009;Movie;LEGO Star Wars: The New Yoda Chronicles - Raid on Coruscant;Michael Hegner;Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent;November 12, 2019;2014;Action-Adventure, Animation, Comedy;Luke Skywalker attempts a daring raid on Coruscant.;TV-Y7;24 min;China
s101;Movie;Descendants: Royal Wedding;Salvador Simó;Dove Cameron, Sofia Carson, Booboo Stewart, Mitchell Hope, Sarah Jeffery, Melanie Paxson;September 17, 2021;2021;Animation, Fantasy, Musical;Mal and Ben’s wedding is finally here!;TV-G;22 min;
s1010;Movie;LEGO Star Wars: The New Yoda Chronicles – Duel of the Skywalkers;Michael Hegner;Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Kirby Morrow, Sam Vincent;November 12, 2019;2014;Action-Adventure, Animation, Comedy;Luke Skywalker accidently opens a remaining holocron.;TV-Y7;24 min;United States
s1011;Movie;LEGO Star Wars: The New Yoda Chronicles – Escape from the Jedi Temple;Michael Hegner;Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Sam Vincent, Kelly Metzger;November 12, 2019;2014;Action-Adventure, Animation, Comedy;Yoda and Obi-Wan recall freeing the Holocrons from the Temple.;TV-Y7;24 min;United States
s1012;Movie;LEGO Star Wars: The New Yoda Chronicles – Race for the Holocrons;Michael Hegner;Tom Kane, Anthony Daniels, Matt Sloan, Trevor Devall, Brian Drummond, Michael Donovan;November 12, 2019;2014;Action-Adventure, Animation, Comedy;Obi-Wan urges Luke to travel to Tatooine.;TV-Y7;24 min;United States
s1013;Movie;Lemonade Mouth;Patricia Riggen;Bridgit Mendler, Adam Hicks, Hayley Kiyoko, Naomi Scott, Blake Michael, Nick Roux;November 12, 2019;2011;Coming of Age, Drama, Music;A ragtag group of freshmen come together in the name of rock 'n' roll.;TV-G;110 min;United States
s1014;Movie;Lend a Paw;Clyde Geronimi;;November 12, 2019;1941;Animation, Family, Kids;Pluto's jealousy of a kitten leaves him conflicted about rescuing it. See details for advisory.;TV-Y7;8 min;United States
s1015;Movie;Leroy & Stitch;Roberts Gannaway, Tony Craig;Daveigh Chase, Chris Sanders, David Stiers, Kevin McDonald, Tia Carrere, Kevin Michael Richardson;November 12, 2019;2006;Action-Adventure, Animation, Comedy;Dr. Hamsterviel forces Jumba to create Leroy, the evil twin of Stitch.;G;76 min;United States
s1016;Movie;Let it Shine;Paul Hoen;Tyler Williams, Coco Jones, Trevor Jackson, Brandon Smith, Dawnn Lewis, Alex Désert;November 12, 2019;2012;Coming of Age, Drama, Music;A true poet overcomes self-doubt and shows everyone his artistic genius.;TV-G;103 min;United States
s1017;Movie;Life is Ruff;Charles Haid;Kyle Massey, Kay Panabaker, Mitchel Musso, Carter Jenkins, Mark Lawrence, Judith Moreland;November 12, 2019;2005;Animals & Nature, Comedy, Coming of Age;A teenager enters an adopted mutt into a dog show to try to win $5000.;TV-G;85 min;United States
s1018;Movie;Life With Mikey;James Lapine;Michael Fox, Nathan Lane, Cyndi Lauper, David Krumholtz, David Huddleston, Christina Vidal;November 12, 2019;1993;Buddy, Comedy, Coming of Age;An ex-child star struggling as an agent discovers a sassy new client.;PG;92 min;United States
s1019;Movie;Life-Size 2;Steven Tsuchida;Tyra Banks, Francia Raisa, Gavin Stenhouse, Hank Chen, Alison Fernandez, Shanica Knowles;November 12, 2019;2018;Comedy, Coming of Age, Fantasy;Eve magically awakes to help get Grace back on track.;TV-14;82 min;United States
s102;Movie;Disney's Broadway Hits at London's Royal Albert Hall;Jay Hatcher;John Barrowman, Ashley Brown, Merle Dandridge, Trevor Dion Nicholas, Jade Ewen, Alton Fitzgerald White;September 17, 2021;2016;Concert Film, Music;Experience the magic of Disney on Broadway in an unforgettable night of music.;TV-G;116 min;
s1020;Movie;Lifted;Gary Rydstrom;;November 12, 2019;2006;Animation, Comedy, Family;A young alien bungles his first lesson in abduction.;G;5 min;United States
s1021;Movie;Lilo & Stitch;Christopher Sanders, Dean DeBlois;Daveigh Chase, Christopher Sanders, Tia Carrere, David Ogden Stiers, Kevin McDonald, Ving Rhames;November 12, 2019;2002;Action-Adventure, Animation, Family;A little girl adopts a wanted alien wreaking havoc on the Hawaiian Islands.;TV-PG;86 min;United States
s1022;Movie;Lilo & Stitch 2: Stitch Has a Glitch;Tony Leondis, Michael LaBash;Christopher Sanders, Dakota Fanning, Tia Carrere, David Stiers, Kevin McDonald, Kunewa Mook;November 12, 2019;2005;Animation, Comedy, Dance;A glitch sends Stich out of control just before Lilo's big hula contest.;PG;70 min;United States
